Periodo,General,Subyacente,Mercancias,Servicios,Nosubyacente,Agropecuarios,Energeticos
2016/07,2.65,2.97,3.71,2.36,1.65,2.97,0.81
2016/08,2.73,2.96,3.76,2.29,1.99,3.09,1.29
2016/09,2.97,3.07,3.92,2.36,2.65,5.34,0.94
2016/10,3.06,3.1,3.97,2.36,2.95,5.25,1.52
2016/11,3.31,3.29,3.91,2.77,3.34,5.56,1.99
2016/12,3.36,3.44,4.05,2.92,3.13,4.15,2.49
2017/01,4.72,3.84,4.75,3.07,7.4,0.53,11.8
2017/02,4.86,4.26,5.39,3.29,6.71,-2.14,12.48
2017/03,5.35,4.48,5.85,3.32,8.02,1.02,12.56
2017/04,5.82,4.72,6.05,3.59,9.25,4.36,12.44
2017/05,6.16,4.78,6.29,3.5,10.6,6.43,13.41
2017/06,6.31,4.83,6.33,3.56,11.09,8.42,12.86
2017/07,6.44,4.94,6.42,3.68,11.27,11.98,10.81
2017/08,6.66,5,6.51,3.72,11.98,13.89,10.76
2017/09,6.35,4.8,6.17,3.63,11.28,10.4,11.86
2017/10,6.37,4.77,5.97,3.75,11.4,8.37,13.36
2017/11,6.63,4.9,6.19,3.79,11.97,8.84,13.94
2017/12,6.77,4.87,6.17,3.76,12.62,9.75,14.44
2018/01,5.55,4.56,5.78,3.52,8.44,10.76,7.1
2018/02,5.34,4.27,5.18,3.49,8.49,9.69,7.81
2018/03,5.04,4.02,4.64,3.49,8.03,7.74,8.19
2018/04,4.55,3.71,4.35,3.15,7.07,5.24,8.18
2018/05,4.51,3.69,4.07,3.36,6.99,2.87,9.59
2018/06,4.65,3.62,3.88,3.38,7.79,2.11,11.4
2018/07,4.81,3.63,3.99,3.33,8.38,1.53,12.86
2018/08,4.9,3.63,3.9,3.36,8.8,1.37,13.69
2018/09,5.02,3.67,3.95,3.38,9.15,1.22,14.47
2018/10,4.9,3.73,3.98,3.48,8.5,2.43,12.62
2018/11,4.72,3.63,3.9,3.37,8.07,4.78,10.3
2018/12,4.83,3.68,3.92,3.47,8.4,7.06,9.1
2019/01,4.37,3.6,3.66,3.51,6.81,7.41,6.26
2019/02,3.94,3.54,3.61,3.43,5.25,4.8,5.73
2019/03,4,3.55,3.71,3.38,5.47,3.7,6.86
2019/04,4.41,3.87,3.74,3.97,6.08,4.77,7.01
2019/05,4.28,3.77,3.82,3.69,5.78,6.08,5.5
2019/06,3.95,3.85,3.92,3.75,4.19,6.23,2.83
2019/07,3.78,3.82,3.85,3.79,3.64,6.33,1.73
2019/08,3.16,3.78,3.76,3.79,1.28,2.78,0.2
2019/09,3,3.75,3.77,3.73,0.71,2.98,-0.9
2019/10,3.02,3.68,3.78,3.58,1.01,3.82,-0.91
2019/11,2.97,3.65,3.63,3.67,0.98,2.18,0.14
2019/12,2.83,3.59,3.56,3.64,0.59,-0.03,1.04
2020/01,3.24,3.73,3.92,3.51,1.81,1.44,2.08
2020/02,3.7,3.66,3.82,3.48,3.81,7.82,1.01
2020/03,3.25,3.6,3.83,3.35,2.19,9.96,-3.13
2020/04,2.15,3.5,4.11,2.84,-1.96,8.52,-9.35
2020/05,2.84,3.64,4.3,2.93,0.35,9.79,-6.51
2020/06,3.33,3.71,4.69,2.65,2.16,7.69,-1.9
2020/07,3.62,3.85,5.19,2.4,2.92,5.55,0.95
2020/08,4.05,3.97,5.36,2.46,4.3,8.09,1.5
2020/09,4.01,3.99,5.4,2.45,4.1,8.16,1.11
2020/10,4.09,3.98,5.44,2.4,4.42,9.61,0.68
2020/11,3.33,3.66,4.99,2.22,2.33,7.2,-1.13
2020/12,3.15,3.8,5.52,1.95,1.18,3.96,-0.81
